10001	20210701191158	u2	hello
10002	20210701191222	u2	writemsgtest2
10001	20210701194844	u1	hello2
10001	20210701195243	u1	test3
10002	20210701195341	u1	test1
10001	20210701195742	u1	finaltest
10001	20210701203611	u1	你好
10001	20210701203640	u3	你好我是
10001	20210701204457	u1	，
10001	20210701204508	u1	？
10001	20210701204514	u1	。
10001	20210701204528	u1	.
10001	20210701205153	u1	三人对话测试1
10001	20210701205214	u2	三人对话测试2.。。？？，
10001	20210701205235	u3	三人对话测试3*&……
10001	20210701205310	u1	三人对话测试结束/；‘：”
10001	20210702160732	u1	你好，这是第一条聊天信息
10001	20210702160814	u2	你好，这是第二条聊天信息
10001	20210919025232	u1	hi
10001	20210919025251	u2	hello
10001	20210919025335	u1	iamgood
10001	20210919025406	u2	ok
10001	20210919135841	u2	nihao
10001	20210919135847	u1	hello
10001	20210919135947	u2	goodby
10001	20210919135958	u1	bye
10001	20210919140046	u1	bb
10001	20210919140105	u1	bb2
